ch1,ch2,n_A,n_B,mean_A,mean_B,mean_diff,time_window,perm_n,perm_pval,perm_method,perm_significant,perm_exclude_self,perm_alternative,perm_q_bh,perm_significant_bh
RAI6,RAI12,1,1,0.5501433281365926,0.7055281559079835,-0.15538482777139084,"(0.0,0.5)",272,0.0,without_replacement,True,True,greater,0.0,True
RAIF11,RAMF12,1,1,0.5621866650470838,0.557181525392626,0.005005139654457813,"(0.0,0.5)",272,0.005,without_replacement,True,True,greater,0.032380952380952385,True
RAIF11,RPI14,1,1,0.6116282997656896,0.5409618260544508,0.0706664737112388,"(0.0,0.5)",272,0.0,without_replacement,True,True,greater,0.0,True
RAIF12,RAI16,1,1,0.6585442985509937,0.486887097667726,0.17165720088326775,"(0.0,0.5)",272,0.0,without_replacement,True,True,greater,0.0,True
RAIF12,RAI6,1,1,0.6006499921115825,0.5316872659697978,0.06896272614178478,"(0.0,0.5)",272,0.0,without_replacement,True,True,greater,0.0,True
RAIF12,RAIF13,1,1,0.5629262349716929,0.5465319941282327,0.016394240843460195,"(0.0,0.5)",272,0.005,without_replacement,True,True,greater,0.032380952380952385,True
RAIF12,RAMF11,1,1,0.6386253716750914,0.5986832673332101,0.03994210434188128,"(0.0,0.5)",272,0.0,without_replacement,True,True,greater,0.0,True
RAIF13,RAI14,1,1,0.490832303120507,0.6155121311352239,-0.12467982801471683,"(0.0,0.5)",272,0.005,without_replacement,True,True,greater,0.032380952380952385,True
RAIF13,RAIF14,1,1,0.5206279540843495,0.6186882371681002,-0.0980602830837507,"(0.0,0.5)",272,0.0,without_replacement,True,True,greater,0.0,True
RAIF13,RAMF11,1,1,0.4798673469873015,0.626830684926442,-0.14696333793914051,"(0.0,0.5)",272,0.005,without_replacement,True,True,greater,0.032380952380952385,True
RAIF14,RAI13,1,1,0.5232634014158237,0.741149057728102,-0.2178856563122783,"(0.0,0.5)",272,0.0,without_replacement,True,True,greater,0.0,True
RAIF14,RAI14,1,1,0.5196882047519903,0.598387251676873,-0.07869904692488272,"(0.0,0.5)",272,0.0,without_replacement,True,True,greater,0.0,True
RAMF12,RAI13,1,1,0.5648025293062556,0.587634787354989,-0.022832258048733345,"(0.0,0.5)",272,0.0,without_replacement,True,True,greater,0.0,True
RAMF12,RAMF13,1,1,0.6429308614294262,0.6163212467020058,0.026609614727420405,"(0.0,0.5)",272,0.0,without_replacement,True,True,greater,0.0,True
RAMF12,RAMF14,1,1,0.5624228561216009,0.5436519662227643,0.018770889898836574,"(0.0,0.5)",272,0.0,without_replacement,True,True,greater,0.0,True
RAMF13,RAMF14,1,1,0.5221129455875014,0.5845878497048377,-0.06247490411733625,"(0.0,0.5)",272,0.0,without_replacement,True,True,greater,0.0,True
RAMF13,RPI15,1,1,0.5440511692672503,0.5892379702203386,-0.04518680095308836,"(0.0,0.5)",272,0.0,without_replacement,True,True,greater,0.0,True
RPI14,RAMF11,1,1,0.5716804401824763,0.5447299439726262,0.026950496209850128,"(0.0,0.5)",272,0.0,without_replacement,True,True,greater,0.0,True
RPI14,RAMF13,1,1,0.6352037667940196,0.5269253798134476,0.10827838698057202,"(0.0,0.5)",272,0.0,without_replacement,True,True,greater,0.0,True
RPI15,RAI14,1,1,0.5102772500381663,0.6449919971307656,-0.13471474709259934,"(0.0,0.5)",272,0.0,without_replacement,True,True,greater,0.0,True
RPI15,RAI6,1,1,0.6244290587663008,0.5485555696261804,0.07587348914012049,"(0.0,0.5)",272,0.0,without_replacement,True,True,greater,0.0,True
